value,year,neighborhood,price_per_sqr_foot,housing_units,gross_rent
1,2010,South Beach,1037.099789,372560,1239
2,2010,Glen Park,715.5864381,372560,1239
3,2010,Miraloma Park,680.6087291,372560,1239
4,2010,Cow Hollow,569.3799679,372560,1239
5,2010,Union Square District,569.1934475,372560,1239
6,2010,Golden Gate Heights,551.8011188,372560,1239
7,2010,Presidio Heights,549.4179312,372560,1239
8,2010,Sunnyside,542.531682,372560,1239
9,2010,Telegraph Hill,524.7935091,372560,1239
10,2010,Pacific Heights,496.5160141,372560,1239
11,2011,Jordan Park/Laurel Heights,610.7666632,374507,1530
12,2011,Clarendon Heights,520.7181675,374507,1530
13,2011,Pacific Heights,509.02148,374507,1530
14,2011,Mission Bay,506.9521745,374507,1530
15,2011,Potrero Hill,503.1385046,374507,1530
16,2011,Presidio Heights,493.8149173,374507,1530
17,2011,Telegraph Hill,483.4057725,374507,1530
18,2011,Bernal Heights ,471.9217321,374507,1530
19,2011,Parnassus/Ashbury Heights,466.6178977,374507,1530
20,2011,Glen Park,457.4138843,374507,1530
21,2012,Miraloma Park,756.1923725,376454,2324
22,2012,Mission Bay,689.5233124,376454,2324
23,2012,Cow Hollow,644.8183067,376454,2324
24,2012,Financial District South,613.8430658,376454,2324
25,2012,Pacific Heights,586.2182148,376454,2324
26,2012,Lone Mountain,545.9801982,376454,2324
27,2012,Eureka Valley/Dolores Heights,524.8134181,376454,2324
28,2012,North Beach,517.1734931,376454,2324
29,2012,Parnassus/Ashbury Heights,515.9210732,376454,2324
30,2012,Yerba Buena,491.8140031,376454,2324
31,2013,Union Square District,1290.472107,378401,2971
32,2013,Golden Gate Heights,956.1841219,378401,2971
33,2013,Yerba Buena,753.0114133,378401,2971
34,2013,Westwood Highlands,747.3335378,378401,2971
35,2013,Cow Hollow,707.4028089,378401,2971
36,2013,Midtown Terrace,703.0815677,378401,2971
37,2013,Marina,655.1980416,378401,2971
38,2013,Telegraph Hill,653.3116167,378401,2971
39,2013,Bernal Heights ,630.8973026,378401,2971
40,2013,Noe Valley,615.0639297,378401,2971
41,2014,Miraloma Park,1267.766203,380348,3528
42,2014,South of Market,1119.838877,380348,3528
43,2014,Potrero Hill,1045.201546,380348,3528
44,2014,Corona Heights,888.1821435,380348,3528
45,2014,Pacific Heights,824.6586936,380348,3528
46,2014,Parnassus/Ashbury Heights,773.4061348,380348,3528
47,2014,Westwood Park,742.9797232,380348,3528
48,2014,Eureka Valley/Dolores Heights,728.9797158,380348,3528
49,2014,Lower Pacific Heights,716.3765096,380348,3528
50,2014,Russian Hill,714.2220738,380348,3528
51,2014,Silver Terrace,170.2925485,380348,3528
52,2015,Union Square District,2258.702832,382295,3739
53,2015,Marina,1132.837361,382295,3739
54,2015,Corona Heights,1100.791194,382295,3739
55,2015,Telegraph Hill,996.9902205,382295,3739
56,2015,Yerba Buena,963.5226062,382295,3739
57,2015,Lone Mountain,918.2882682,382295,3739
58,2015,Pacific Heights,910.1876902,382295,3739
59,2015,North Waterfront,890.9095932,382295,3739
60,2015,Potrero Hill,821.3009905,382295,3739
61,2015,Lower Pacific Heights,800.0388651,382295,3739
62,2016,Presidio Heights,1465.968586,384242,4390
63,2016,Merced Heights,1416.666667,384242,4390
64,2016,Parnassus/Ashbury Heights,1207.997485,384242,4390
65,2016,Outer Richmond ,1196.645437,384242,4390
66,2016,Cow Hollow,1059.065602,384242,4390
67,2016,Eureka Valley/Dolores Heights,1026.791108,384242,4390
68,2016,Russian Hill,1024.339877,384242,4390
69,2016,Pacific Heights,996.3893636,384242,4390
70,2016,Bernal Heights ,986.8421053,384242,4390
71,2016,Twin Peaks,970.0854701,384242,4390
